Regression : FALSE
Max L : 296

TRAIN,DaeHanTwo,HyunTae,JaeIn,JinWoo,NaYoung,SongHa,SongHaTwo,TeaGyeong,TeaGyeongTwo,
TEST,DaeHan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,예상,실제,성공/실패
358.922211,354.834198,0.220177,0.722715,353.710907,0.011561,352.585907,1.363249,79.457329,345.841705,8.392582,87.080833,353.461914,344.194092,282.351501,347.958710,339.910706,276.002289,4.232125,354.854706,354.770691,4.232125,354.854706,354.770691,1.408387,346.197693,359.190186,2.395624,354.948395,5.355241,2.395624,354.948395,5.355241,1.340407,348.787994,0.069282,2.921482,353.709015,359.928894,0,0,TRUE
358.922211,354.834198,0.220177,0.722715,353.710907,0.011561,352.585907,1.363249,79.457329,345.841705,8.392582,87.080833,353.461914,344.194092,282.351501,347.958710,339.910706,276.002289,4.232125,354.854706,354.770691,4.232125,354.854706,354.770691,1.408387,346.197693,359.190186,2.395624,354.948395,5.355241,2.395624,354.948395,5.355241,1.340407,348.787994,0.069282,2.921482,353.709015,359.928894,0,0,TRUE
358.927185,354.845490,0.211106,0.725567,353.720490,0.004031,352.590790,1.369664,79.433456,345.863495,8.380719,87.071274,353.442810,344.188202,282.331696,347.963593,339.933014,275.982605,4.243114,354.865112,354.769714,4.243114,354.865112,354.769714,1.405724,346.195801,359.186890,2.388022,354.959198,5.356853,2.388022,354.959198,5.356853,1.345081,348.802612,0.071864,2.924059,353.718506,359.923706,0,0,TRUE
358.931000,354.857208,0.202874,0.727345,353.730011,-0.002144,352.591888,1.380437,79.410393,345.884308,8.369769,87.061684,353.426300,344.184692,282.314301,347.969696,339.955902,275.964203,4.254478,354.876099,354.768799,4.254478,354.876099,354.768799,1.403190,346.202393,359.183990,2.381226,354.970612,5.358262,2.381226,354.970612,5.358262,1.349386,348.806610,0.073591,2.925532,353.727997,359.920105,0,0,TRUE
358.931000,354.857208,0.202874,0.727345,353.730011,-0.002144,352.591888,1.380437,79.410393,345.884308,8.369769,87.061684,353.426300,344.184692,282.314301,347.969696,339.955902,275.964203,4.254478,354.876099,354.768799,4.254478,354.876099,354.768799,1.403190,346.202393,359.183990,2.381226,354.970612,5.358262,2.381226,354.970612,5.358262,1.349386,348.806610,0.073591,2.925532,353.727997,359.920105,0,0,TRUE
358.933899,354.869690,0.195359,0.728383,353.739685,359.993011,352.589111,1.396100,79.388451,345.904602,8.359529,87.051971,353.412506,344.184387,282.297485,347.975800,339.978607,275.946991,4.266280,354.887909,354.767914,4.266280,354.887909,354.767914,1.400179,346.209991,359.181000,2.374959,354.982697,5.359611,2.374959,354.982697,5.359611,1.352467,348.814911,0.075390,2.925365,353.737701,359.918213,0,0,TRUE
358.936188,354.882599,0.188331,0.728679,353.750214,359.988708,352.585999,1.413257,79.366913,345.921692,8.353925,87.040260,353.400513,344.187012,282.281586,347.983002,340.003296,275.930206,4.278396,354.900085,354.767090,4.278396,354.900085,354.767090,1.397046,346.220795,359.178192,2.369151,354.995300,5.361012,2.369151,354.995300,5.361012,1.354641,348.842590,0.078152,2.924146,353.748199,359.916687,0,0,TRUE
358.936188,354.882599,0.188331,0.728679,353.750214,359.988708,352.585999,1.413257,79.366913,345.921692,8.353925,87.040260,353.400513,344.187012,282.281586,347.983002,340.003296,275.930206,4.278396,354.900085,354.767090,4.278396,354.900085,354.767090,1.397046,346.220795,359.178192,2.369151,354.995300,5.361012,2.369151,354.995300,5.361012,1.354641,348.842590,0.078152,2.924146,353.748199,359.916687,0,0,TRUE
358.937592,354.895905,0.181856,0.727481,353.759308,359.985687,352.577789,1.434672,79.346863,345.937286,8.348526,87.027748,353.392303,344.191895,282.268188,347.991089,340.027405,275.913086,4.291589,354.912903,354.765594,4.291589,354.912903,354.765594,1.392990,346.229706,359.174408,2.364526,355.008301,5.362165,2.364526,355.008301,5.362165,1.355087,348.870911,0.080560,2.921267,353.757294,359.916595,0,0,TRUE
358.938202,354.908997,0.176023,0.725463,353.767914,359.983795,352.566711,1.459257,79.328178,345.951599,8.344028,87.015511,353.385986,344.198212,282.255890,348.001801,340.053894,275.896088,4.304654,354.925415,354.764099,4.304654,354.925415,354.764099,1.388525,346.233887,359.170410,2.360254,355.021088,5.363196,2.360254,355.021088,5.363196,1.355035,348.900696,0.082893,2.917718,353.765991,359.917389,0,0,TRUE
358.938202,354.908997,0.176023,0.725463,353.767914,359.983795,352.566711,1.459257,79.328178,345.951599,8.344028,87.015511,353.385986,344.198212,282.255890,348.001801,340.053894,275.896088,4.304654,354.925415,354.764099,4.304654,354.925415,354.764099,1.388525,346.233887,359.170410,2.360254,355.021088,5.363196,2.360254,355.021088,5.363196,1.355035,348.900696,0.082893,2.917718,353.765991,359.917389,0,0,TRUE
358.938507,354.920685,0.170752,0.722990,353.776703,359.982513,352.552307,1.487784,79.309578,345.965790,8.339639,87.003792,353.381012,344.205505,282.246002,348.014191,340.082214,275.878998,4.317433,354.936707,354.762512,4.317433,354.936707,354.762512,1.383496,346.236298,359.166290,2.356278,355.032593,5.364420,2.356278,355.032593,5.364420,1.352415,348.979492,0.087935,2.914041,353.774811,359.918610,0,0,TRUE
358.938293,354.932800,0.166070,0.720092,353.783813,359.982300,352.536285,1.516364,79.293587,345.976807,8.337104,86.991478,353.377594,344.212494,282.237305,348.028900,340.111908,275.860413,4.330482,354.948395,354.760895,4.330482,354.948395,354.760895,1.378179,346.238586,359.162109,2.352863,355.044586,5.365539,2.352863,355.044586,5.365539,1.352761,349.045502,0.092132,2.910384,353.781891,359.920197,0,0,TRUE
358.938293,354.932800,0.166070,0.720092,353.783813,359.982300,352.536285,1.516364,79.293587,345.976807,8.337104,86.991478,353.377594,344.212494,282.237305,348.028900,340.111908,275.860413,4.330482,354.948395,354.760895,4.330482,354.948395,354.760895,1.378179,346.238586,359.162109,2.352863,355.044586,5.365539,2.352863,355.044586,5.365539,1.352761,349.045502,0.092132,2.910384,353.781891,359.920197,0,0,TRUE
358.937286,354.943909,0.162201,0.716858,353.790497,359.982605,352.519897,1.544871,79.279373,345.984802,8.337518,86.977837,353.375702,344.220490,282.229187,348.049194,340.148987,275.835785,4.343755,354.959198,354.758789,4.343755,354.959198,354.758789,1.372038,346.240204,359.157410,2.349473,355.055511,5.366733,2.349473,355.055511,5.366733,1.372478,349.214508,0.101561,2.906310,353.788605,359.921112,0,0,TRUE
